CODE	UZ	RU	EN
  626	Timor-Sharqiy	Восточный Тимор	Timor-Leste
  630	Puerto-Riko	Пуэрто-Рико	Puerto Rico
  634	Qatar	Катар	Qatar
  638	Riunion	Риюньон	Riunion
  642	Ruminiya	Румыния	Romania
  643	Rossiya Federatsiyasi	Российская Федерация	Russian Federation
  646	Ruanda	Руанда	Rwanda
  652	Sent-Bartilemi	Сен-Бартелеми	Saint Barthilemy
  654	Avliyo Yelena, Ko'tarilish va Tristan da Kunya	Остров Святой Елены, Вознесения и Тристан-да-Кунья	Saint Helena, Ascension and Tristan da Cunha
  659	Sent-Kitts va Nevis	Сент-Китс и Невис	Saint Kitts and Nevis
  660	Anguilla	Ангилья	Anguilla
  662	Sent-Lyusiya	Сент-Люсия	Saint Lucia
  663	Sent-Martin (frantsuz qismi)	Сен-Мартен (французская часть)	Saint Martin (French part)
  666	Sent-Pyer va Mikelon	Сен-Пьер и Микелон	Saint Pierre and Miquelon
  670	Sent-Vinsent va Grenadin orollari	Сент-Винсент и Гренадины	Saint Vincent and the Grenadines
  674	San-Marino	Сан-Марино	San Marino
  678	San-Tome va Prinsipi	Сан-Томе и Принсипи	Sao Tome and Principe
  682	Saudiya Arabistoni	Саудовская Аравия	Saudi Arabia
  686	Senegal	Сенегал	Senegal
  688	Serbiya	Сербия	Serbia
  690	Seyshel orollari	Сейшельские острова	Seychelles
  694	Syerra-Leone	Сьерра-Леоне	Sierra Leone
  702	Singapur	Сингапур	Singapore
  703	Slovakiya	Словакия	Slovakia
  704	Vyetnam	Вьетнам	Viet Nam
  705	Sloveniya	Словения	Slovenia
  706	Somali	Сомали	Somalia
  710	Janubiy Afrika	ЮАР	South Africa
  716	Zimbabve	Зимбабве	Zimbabwe
  724	Ispaniya	Испания	Spain
  728	Janubiy Sudan	Южный Судан	South Sudan
  729	Sudan	Судан	Sudan
  732	G'arbiy Sahara	Западная Сахара	Western Sahara
  740	Surinam	Суринам	Suriname
  744	Svalbard va Yan Mayen	Шпицберген и Ян-Майен	Svalbard and Jan Mayen
  748	Svazilend	Свазиленд	Swaziland
  752	Shvetsiya	Швеция	Sweden
  756	Shveytsariya	Швейцария	Switzerland
  760	Suriya Arab Respublikasi	Сирийская Арабская Республика	Syrian Arab Republic
  762	Tojikiston	Таджикистан	Tajikistan
  764	Tailand	Таиланд	Thailand
  768	Togo	Того	Togo
  772	Tokelau	Токелау	Tokelau
  776	Tonga	Тонга	Tonga
  780	Trinidad va Tobago	Тринидад и Тобаго	Trinidad and Tobago
  784	Birlashgan Arab Amirliklari	Объединенные Арабские Эмираты	United Arab Emirates
  788	Tunis	Тунис	Tunisia
  792	Turkiya	Турция	Turkey
  795	Turkmaniston	Туркменистан	Turkmenistan
  796	Turks va Kaykos orollari	Острова Теркс и Кайкос	Turks and Caicos Islands
  798	Tuvalu	Тувалу	Tuvalu
  800	Uganda	Уганда	Uganda
  804	Ukraina	Украина	Ukraine
  807	Makedoniya, sobiq Yugoslaviya Respublikasi	Македония, бывшая югославская республика	Macedonia, the former Yugoslav Republic of
  818	Misr	Египет	Egypt
  826	Birlashgan Qirollik	Великобритания	United Kingdom
  831	Gernsi	Гернси	Guernsey
  832	Jersi	Джерси	Jersey
  833	Man oroli	Остров Мэн	Isle of Man
  834	Tanzaniya, Birlashgan Respublikasi	Танзания, Объединенная Республика	Tanzania, United Republic of
  840	Amerika Qo'shma Shtatlari	Соединенные Штаты Америки	United States of America
  850	Virjiniya orollari, AQSH	Виргинские острова, США	Virgin Islands, U.S.
  854	Burkina-Faso	Буркина-Фасо	Burkina Faso
  858	Urugvay	Уругвай	Uruguay
  860	O'zbekiston	Узбекистан	Uzbekistan
  862	Venesuela, Bolivar Respublikasi	Венесуэла, Боливарианская Республика	Venezuela, Bolivarian Republic of
  876	Uollis va Futuna	Уоллис и Футуна	Wallis and Futuna
  882	Samoa	Самоа	Samoa
  887	Yaman	Йемен	Yemen
  894	Zambiya	Замбия	Zambia
stateless	Fuqaroliksiz	Без гражданства	Stateless
